month,signal_date,index_code,ticker,status,reason,source_audit
2025-12,2025-12-01,XU100,TRALT,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TRENJ,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TRMET,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TSKB,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TSPOR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TTKOM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TTRAK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TUKAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TUPRS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TUREX,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TURSG,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,ULKER,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,VAKBN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,VESTL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,YEOTK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,YKBNK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,ZOREN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,AEFES,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,AGHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,AKBNK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,AKSA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,AKSEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ALARK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ALTNY,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ANSGR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ARCLK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ASELS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ASTOR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,BALSU,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,BIMAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,BRSAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,BRYAT,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,BSOKE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,BTCIM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,CANTE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,CCOLA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,CIMSA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,CWENE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,DAPGM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,DOAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,DOHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,DSTKF,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ECILC,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,EFOR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,EGEEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,EKGYO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ENERY,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ENJSA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ENKAI,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,EREGL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,EUPWR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,FENER,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,FROTO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GARAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GENIL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GESAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GLRMK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GRSEL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GRTHO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GSRAY,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,GUBRF,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,HALKB,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,HEKTS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ISCTR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ISMEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,IZENR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,KCAER,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,KCHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,KLRHO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,KONTR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,KRDMD,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,KTLEV,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,KUYAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,MAGEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,MAVI,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,MGROS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,MIATK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,MPARK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,OBAMS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ODAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,OTKAR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,OYAKC,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,PASEU,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,PATEK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,PETKM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,PGSUS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,QUAGR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,RALYH,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,REEDR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,SAHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,SASA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,SISE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,SKBNK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,SOKM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TABGD,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TAVHL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TCELL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,THYAO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TKFEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TOASO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TRALT,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TRENJ,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TRMET,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TSKB,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TSPOR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TTKOM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TTRAK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TUKAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TUPRS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TUREX,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,TURSG,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ULKER,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,VAKBN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,VESTL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,YEOTK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,YKBNK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-01,2026-01-02,XU100,ZOREN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,AEFES,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,AGHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,AKBNK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,AKSA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,AKSEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ALARK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ALTNY,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ANSGR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ARCLK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ASELS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ASTOR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,BALSU,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,BIMAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,BRSAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,BRYAT,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,BSOKE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,BTCIM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,CANTE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,CCOLA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,CIMSA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,CWENE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,DAPGM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,DOAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,DOHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,DSTKF,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ECILC,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,EFOR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,EGEEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,EKGYO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ENERY,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ENJSA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,ENKAI,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,EREGL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,EUPWR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,FENER,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,FROTO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GARAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GENIL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GESAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GLRMK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GRSEL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GRTHO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GSRAY,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,GUBRF,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,HALKB,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2026-02,2026-02-02,XU100,HEKTS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
